epoch,loss,train_acc,val_acc,test_acc,lr,phase
1,3.7741966247558594,0.19285714285714287,0.166,0.161,0.005,warmup
2,3.343857526779175,0.2,0.232,0.221,0.005,warmup
3,3.425793170928955,0.24285714285714285,0.272,0.282,0.005,warmup
4,3.7294037342071533,0.24285714285714285,0.282,0.304,0.005,warmup
5,2.9047393798828125,0.2571428571428571,0.298,0.327,0.005,warmup
6,3.0019760131835938,0.29285714285714287,0.328,0.344,0.005,warmup
7,2.707493305206299,0.35,0.346,0.366,0.005,warmup
8,2.8193728923797607,0.42142857142857143,0.364,0.379,0.005,warmup
9,2.852433681488037,0.42857142857142855,0.396,0.397,0.005,warmup
10,2.3759336471557617,0.45,0.408,0.406,0.005,warmup
11,2.427915573120117,0.4857142857142857,0.416,0.417,0.005,warmup
12,2.429300308227539,0.5214285714285715,0.43,0.43,0.005,warmup
13,2.47611665725708,0.5642857142857143,0.448,0.454,0.005,warmup
14,2.244022846221924,0.6,0.476,0.478,0.005,warmup
15,2.0615570545196533,0.6142857142857143,0.486,0.491,0.005,warmup
16,2.170200824737549,0.65,0.494,0.506,0.005,warmup
17,2.0417404174804688,0.6857142857142857,0.522,0.536,0.005,warmup
18,1.9451361894607544,0.7214285714285714,0.546,0.56,0.005,warmup
19,1.7221225500106812,0.75,0.578,0.584,0.005,warmup
20,1.8409253358840942,0.7857142857142857,0.598,0.622,0.005,warmup
21,1.9257960319519043,0.8428571428571429,0.624,0.647,0.005,warmup
22,1.671411395072937,0.8714285714285714,0.66,0.678,0.005,warmup
23,1.7984617948532104,0.8857142857142857,0.668,0.698,0.005,warmup
24,1.7968649864196777,0.9285714285714286,0.692,0.714,0.005,warmup
25,1.7446701526641846,0.9285714285714286,0.704,0.733,0.005,warmup
26,1.8389968872070312,0.9357142857142857,0.714,0.743,0.005,warmup
27,1.723105549812317,0.95,0.73,0.76,0.005,warmup
28,1.6852996349334717,0.95,0.738,0.771,0.005,warmup
29,1.7428404092788696,0.95,0.738,0.787,0.005,warmup
30,1.832620620727539,0.9357142857142857,0.748,0.788,0.005,warmup
31,1.4643703699111938,0.9357142857142857,0.758,0.789,0.005,warmup
32,1.6682459115982056,0.9428571428571428,0.77,0.788,0.005,warmup
33,1.4484540224075317,0.9428571428571428,0.768,0.79,0.005,warmup
34,1.705918312072754,0.9428571428571428,0.772,0.787,0.005,warmup
35,1.5357229709625244,0.9428571428571428,0.762,0.784,0.005,warmup
36,1.6405835151672363,0.9428571428571428,0.754,0.787,0.005,warmup
37,1.4279613494873047,0.9428571428571428,0.754,0.788,0.005,warmup
38,1.353615164756775,0.9357142857142857,0.76,0.779,0.005,warmup
39,1.2061527967453003,0.9428571428571428,0.76,0.786,0.005,warmup
40,1.3083531856536865,0.9428571428571428,0.762,0.788,0.005,warmup
41,1.2379435300827026,0.9571428571428572,0.764,0.792,0.005,warmup
42,1.073559284210205,0.9571428571428572,0.766,0.801,0.005,warmup
43,1.2610301971435547,0.9642857142857143,0.77,0.808,0.005,warmup
44,1.1410096883773804,0.9642857142857143,0.778,0.811,0.005,warmup
45,1.189611554145813,0.9785714285714285,0.768,0.808,0.005,warmup
46,1.161421298980713,0.9785714285714285,0.776,0.807,0.005,warmup
47,1.2716981172561646,0.9785714285714285,0.77,0.814,0.005,warmup
48,1.042157530784607,0.9714285714285714,0.77,0.813,0.005,warmup
49,1.1092168092727661,0.9785714285714285,0.768,0.808,0.005,warmup
50,1.1483641862869263,0.9714285714285714,0.766,0.797,0.005,convergence
51,1.1679916381835938,0.9785714285714285,0.762,0.794,0.005,convergence
52,1.2782107591629028,0.9785714285714285,0.756,0.792,0.005,convergence
53,1.1077677011489868,0.9785714285714285,0.752,0.789,0.005,convergence
54,1.125284194946289,0.9785714285714285,0.754,0.785,0.005,convergence
55,0.986415445804596,0.9785714285714285,0.756,0.783,0.005,convergence
56,1.1342573165893555,0.9785714285714285,0.762,0.787,0.005,convergence
57,1.037076473236084,0.9857142857142858,0.766,0.794,0.005,convergence
58,1.1330007314682007,0.9857142857142858,0.768,0.798,0.005,convergence
59,1.002825140953064,0.9857142857142858,0.778,0.805,0.005,convergence
60,1.0711421966552734,0.9857142857142858,0.778,0.811,0.005,convergence
61,1.0753436088562012,0.9857142857142858,0.782,0.815,0.005,convergence
62,1.0483685731887817,0.9857142857142858,0.78,0.816,0.005,convergence
63,1.0006885528564453,0.9928571428571429,0.79,0.817,0.005,convergence
64,0.9817196726799011,0.9928571428571429,0.792,0.817,0.005,convergence
65,0.946118950843811,0.9928571428571429,0.788,0.815,0.005,convergence
66,1.0811033248901367,0.9928571428571429,0.79,0.816,0.005,convergence
67,0.9903631210327148,0.9928571428571429,0.79,0.818,0.005,convergence
68,1.0275710821151733,0.9928571428571429,0.792,0.818,0.005,convergence
69,0.8228106498718262,0.9928571428571429,0.796,0.817,0.005,convergence
70,1.0358097553253174,0.9928571428571429,0.796,0.811,0.005,convergence
71,1.0183371305465698,0.9928571428571429,0.796,0.812,0.005,convergence
72,0.9459957480430603,0.9928571428571429,0.796,0.812,0.005,convergence
73,0.8371637463569641,0.9928571428571429,0.794,0.807,0.005,convergence
74,0.9014288187026978,0.9928571428571429,0.78,0.805,0.005,convergence
75,0.9790128469467163,0.9928571428571429,0.78,0.805,0.005,convergence
76,1.0859557390213013,0.9928571428571429,0.778,0.803,0.005,convergence
77,0.8844464421272278,0.9928571428571429,0.778,0.799,0.005,convergence
78,0.972362756729126,0.9928571428571429,0.776,0.795,0.005,convergence
79,0.9345166087150574,0.9928571428571429,0.774,0.795,0.005,convergence
80,0.8565461039543152,0.9928571428571429,0.776,0.799,0.005,convergence
81,0.7120698094367981,0.9928571428571429,0.776,0.8,0.005,convergence
82,0.9996599555015564,0.9928571428571429,0.778,0.799,0.005,convergence
83,0.8311686515808105,0.9928571428571429,0.778,0.797,0.005,convergence
84,0.9170423150062561,1.0,0.784,0.801,0.005,convergence
85,0.9549465775489807,1.0,0.786,0.805,0.005,convergence
86,0.8743326663970947,1.0,0.79,0.81,0.005,convergence
87,0.9598900079727173,1.0,0.794,0.816,0.005,convergence
88,0.7636094689369202,1.0,0.792,0.817,0.005,convergence
89,0.8721165657043457,1.0,0.798,0.817,0.005,convergence
90,0.819540798664093,1.0,0.802,0.817,0.005,convergence
91,0.9341952800750732,1.0,0.804,0.816,0.005,cooldown
92,0.921253502368927,1.0,0.804,0.816,0.005,cooldown
93,0.9339685440063477,1.0,0.802,0.814,0.005,cooldown
94,0.8496677875518799,1.0,0.798,0.811,0.005,cooldown
95,0.7354570627212524,1.0,0.788,0.81,0.005,cooldown
96,0.9402439594268799,1.0,0.782,0.803,0.005,cooldown
97,0.8529888987541199,1.0,0.782,0.8,0.005,cooldown
98,0.7705241441726685,1.0,0.78,0.8,0.005,cooldown
99,0.7637001276016235,0.9928571428571429,0.776,0.801,0.005,cooldown
100,0.778396487236023,0.9928571428571429,0.774,0.799,0.005,cooldown
101,0.835103452205658,0.9928571428571429,0.776,0.797,0.005,cooldown
102,0.7895508408546448,0.9928571428571429,0.774,0.795,0.005,cooldown
103,0.7176322340965271,0.9928571428571429,0.776,0.797,0.005,cooldown
104,0.9398574829101562,0.9928571428571429,0.776,0.796,0.005,cooldown
105,0.8113136887550354,0.9928571428571429,0.784,0.797,0.005,cooldown
106,0.704434335231781,0.9928571428571429,0.782,0.799,0.005,cooldown
107,0.6633686423301697,0.9928571428571429,0.782,0.804,0.005,cooldown
108,0.7082874774932861,0.9928571428571429,0.784,0.808,0.005,cooldown
109,0.8005926012992859,1.0,0.784,0.808,0.005,cooldown
110,0.8897590041160583,1.0,0.79,0.814,0.005,cooldown
111,0.731010377407074,1.0,0.792,0.816,0.005,cooldown
112,0.6907815933227539,1.0,0.798,0.813,0.005,cooldown
113,0.5664556622505188,1.0,0.794,0.811,0.005,cooldown
114,0.7711395025253296,1.0,0.782,0.807,0.005,cooldown
115,0.7371972799301147,1.0,0.784,0.802,0.005,cooldown
